ServiceNo,Direction,FromStop,ToStop,SequenceOrder,Geometry
190,1,5069,10011,30,_ayFqhxxRLHl@f@l@d@RPXRPLf@^f@d@ZZV^`@p@b@v@j@fAt@tAR^
190,1,10011,10041,31,uqxF{vwxRb@v@P\Zl@NPDDTZf@h@rB|BHJh@v@@DJX
190,1,10041,10499,32,yfxFwhwxR??H`@B\@T?L?LCN]vAEX?@G^Kl@CRAJ?VDN@Z?`@@z@JlAJNHFLDL@N?\QPMLQz@eAPIBIDMFW@Y@UCa@Gm@OcAKs@G[AGEUECOBE@IDED?DBN
190,2,10499,10049,0,qcxFccwxRCO?EDEHEDANCFAADDT@FFZJr@NbAFl@B`@ATAXGVELCHEVMNg@n@KHQPSPQJ[JQ@K@UBSBAOASC_AAo@Aq@Aq@CUAIIWIOGKIOQOPSDG@?DIj@w@P]HQDQBO@O@Q?MAK?C
190,2,10049,10017,1,cgxFwfwxR?KEOI[ISGMKQa@e@SWQUACQQ]a@MQSUk@u@EEMMg@s@gAkB]o@
190,2,10017,5012,2,{sxFqxwxRU_@]m@[g@cAcBa@g@]YMMWSi@g@MMWSYSqA}@QM_@WGEYUOMq@k@_Aw@
190,2,5012,5022,3,ghyF_mxxRGGs@g@GGWSc@[KKGEMMaAw@GG{@m@g@a@c@[EEmCuBSOOM[UOMo@g@i@a@MKMKWSeA{@US
190,2,5022,4222,4,ibzFwbyxRQO[UII_@[e@_@c@]QOWSa@[[YA?USk@c@OMOMoAeAg@a@WS[Wk@e@cAw@
190,2,4222,4223,5,svzFatyxRcAu@]WaBkAa@]KKQMa@[YS_@Q[O
190,2,4223,4143,6,ob{Fe}yxR]Qy@]q@[u@Yi@Uc@Oc@MKE]KQGk@QGCaA_@iAg@]OYMQIUI
190,2,4143,4121,7,}v{FigzxRAAaAa@UMIPk@jAWh@IPSMSMq@_@GEc@ISCK@IBKJYZKLOTSR??
190,2,4121,8041,8,ud|FkczxREDKJKHUNy@d@e@VULSLMJILSVOTa@l@k@t@KLORSV
190,2,8041,8031,9,mp|F_xyxRUXCDCDADAD?D?D?H?D@JBLDLFHd@d@HHJRHT@P@TKb@UxASv@U`ACL
190,2,8031,8111,10,aq|FwgyxRCLQx@ERMp@CHK`@I\c@dAO`@c@t@[j@S\_@z@U`@ADITGREb@E\Kx@?DAHCVU|AAH
190,2,8111,8121,11,m{|F}lxxRIr@E\AHCNEP?DCPCPIj@QxAKt@ETKr@
190,2,8121,9011,12,k~|Fo_xxRE\CTE\Kr@G`@AJKv@Ip@Ib@Ij@Ib@ERERAH^^t@p@L\FTBR?L?T?PGPIVMPKDSFWDQ@k@Ug@WSAQBQFOVs@nAy@fA
190,2,9011,9023,13,wi}F}cwxRYZY^[Z{@|@OPQPUVk@t@a@f@CL?B@B@B@BDD\XHFHF
190,2,9023,9213,14,op}F_xvxRv@l@RNIFm@t@GJU^[h@aA`BKPS`@SK[USUY[c@][WEEg@a@CCYUa@]OKCECAWUa@Us@Yi@Qm@U{By@ICYIWIe@QICc@KME
190,2,9213,40191,15,{l~F}{vxRUEk@MQCwCAM?}@@qCD{ABy@BeBF_@@[Hc@Pe@b@SZUn@_@|BWhBEPUxAMt@
